JobID,Title,ExperienceLevel,Skills,Responsibilities,Keywords,MinYears,MaxYears,CleanedSkills,PrimarySkills,SecondarySkills
AND-F-08,Junior Android Engineer,Fresher,"['Java', 'Kotlin', 'Android Studio', 'XML', 'SQLite', 'UI/UX Basics', 'Git', 'REST APIs']","['Build simple Android app screens with proper layout.', 'Implement basic app features using Java/Kotlin.', 'Follow MVC pattern under guidance.', 'Test functionality using unit tests.', 'Document code and participate in team reviews.']","['Java', 'Kotlin', 'Android Studio', 'Material Design', 'UI/UX Design', 'REST API', 'SQLite']",0,0,"['REST APIs', 'Kotlin', 'Git', 'XML', 'Java', 'SQLite', 'UX', 'Android Studio', 'UI']","['REST APIs', 'Java', 'SQLite', 'Kotlin']","['Git', 'XML', 'UX', 'Android Studio', 'UI']"
AND-F-09,Android Development Intern,Fresher,"['Kotlin', 'Java', 'Android Studio', 'XML', 'UI/UX Basics', 'SQLite', 'REST API', 'Git']","['Assist in small-scale Android app development projects.', 'Follow Material Design and UI/UX principles.', 'Integrate basic REST APIs and handle data locally.', 'Debug minor issues using Android Studio tools.', 'Learn and apply Git version control.']","['Kotlin', 'Java', 'Android Studio', 'Material Design', 'UI/UX Design', 'REST API', 'SQLite']",0,0,"['Kotlin', 'Git', 'XML', 'REST API', 'Java', 'SQLite', 'UX', 'Android Studio', 'UI']","['REST API', 'Java', 'SQLite', 'Kotlin']","['Git', 'XML', 'UX', 'Android Studio', 'UI']"
AND-F-10,Android Developer Trainee,Fresher,"['Java', 'Kotlin', 'Android Studio', 'XML', 'UI/UX Basics', 'SQLite', 'REST API', 'Git']","['Develop and test small Android app features.', 'Follow Material Design for responsive UI layouts.', 'Integrate basic REST APIs for data functionality.', 'Debug and document code with guidance.', 'Participate in learning sessions and code reviews.']","['Java', 'Kotlin', 'Android Studio', 'Material Design', 'UI/UX Design', 'REST API', 'SQLite']",0,0,"['Kotlin', 'Git', 'XML', 'REST API', 'Java', 'SQLite', 'UX', 'Android Studio', 'UI']","['REST API', 'Java', 'SQLite', 'Kotlin']","['Git', 'XML', 'UX', 'Android Studio', 'UI']"
AND-E-01,Android Developer,Experienced,"['Java', 'Kotlin', 'Android Studio', 'Jetpack', 'MVVM', 'Room', 'REST APIs', 'Git', 'Firebase', 'Unit Testing']","['Develop and maintain production Android apps.', 'Implement MVVM architecture and Jetpack components.', 'Integrate REST APIs and Firebase services.', 'Optimize performance with multi-threading and memory management.', 'Mentor junior developers and participate in agile sprints.']","['Kotlin', 'Jetpack', 'MVVM', 'Room', 'Material Design', 'Dependency Injection', 'Performance Optimization', 'CI/CD', 'Firebase', 'REST API', 'Play Store', 'Debugging', 'Agile', 'Unit Testing', 'Android NDK']",2,3,"['REST APIs', 'MVVM', 'Kotlin', 'Room', 'Jetpack', 'Unit Testing', 'Java', 'Firebase', 'Git', 'Android Studio']","['REST APIs', 'Java', 'MVVM', 'Kotlin', 'Room']","['Jetpack', 'Unit Testing', 'Firebase', 'Git', 'Android Studio']"
AND-E-02,Senior Android Developer,Experienced,"['Java', 'Kotlin', 'Android Studio', 'MVVM', 'Clean Architecture', 'Dagger', 'Room', 'REST APIs', 'Firebase', 'Unit Testing', 'CI/CD']","['Lead development of scalable Android apps with clean architecture.', 'Implement dependency injection using Dagger/Koin.', 'Integrate APIs and optimize app performance.', 'Automate CI/CD pipelines and testing.', 'Guide junior developers and review code quality.']","['Kotlin', 'Jetpack', 'MVVM', 'Room', 'Material Design', 'Dependency Injection', 'Performance Optimization', 'CI/CD', 'Firebase', 'REST API', 'Play Store', 'Debugging', 'Agile', 'Unit Testing', 'Android NDK']",3,4,"['REST APIs', 'MVVM', 'Kotlin', 'Room', 'CI', 'Clean Architecture', 'Unit Testing', 'Java', 'CD', 'Dagger', 'Firebase', 'Android Studio']","['REST APIs', 'Java', 'MVVM', 'Kotlin', 'Room', 'CI']","['Clean Architecture', 'Unit Testing', 'CD', 'Dagger', 'Firebase', 'Android Studio']"
AND-E-03,Lead Android Engineer,Experienced,"['Kotlin', 'Java', 'Android Studio', 'MVVM', 'Clean Architecture', 'Jetpack', 'Room', 'Firebase', 'Dagger', 'Performance Optimization', 'CI/CD']","['Architect and lead Android app development projects.', 'Implement MVVM and modular design patterns.', 'Optimize app memory and multi-threading performance.', 'Integrate cloud services like Firebase for analytics and messaging.', 'Mentor team members and ensure high code quality.']","['Kotlin', 'Jetpack', 'MVVM', 'Room', 'Material Design', 'Dependency Injection', 'Performance Optimization', 'CI/CD', 'Firebase', 'REST API', 'Play Store', 'Debugging', 'Agile', 'Unit Testing', 'Android NDK']",4,5,"['MVVM', 'Kotlin', 'Room', 'Jetpack', 'CI', 'Clean Architecture', 'Java', 'CD', 'Dagger', 'Firebase', 'Android Studio', 'Performance Optimization']","['Java', 'MVVM', 'Kotlin', 'Room', 'Jetpack', 'CI']","['Clean Architecture', 'CD', 'Dagger', 'Firebase', 'Android Studio', 'Performance Optimization']"
AND-E-04,Android Solutions Engineer,Experienced,"['Java', 'Kotlin', 'Android Studio', 'MVVM', 'Clean Architecture', 'Jetpack', 'Room', 'REST APIs', 'Firebase', 'CI/CD', 'Unit Testing']","['Design and implement efficient Android apps.', 'Integrate REST APIs, Jetpack components, and Room database.', 'Ensure smooth app performance and memory optimization.', 'Lead CI/CD pipeline implementation and automated testing.', 'Collaborate with cross-functional teams for product delivery.']","['Kotlin', 'Jetpack', 'MVVM', 'Room', 'Material Design', 'Dependency Injection', 'Performance Optimization', 'CI/CD', 'Firebase', 'REST API', 'Play Store', 'Debugging', 'Agile', 'Unit Testing', 'Android NDK']",3,5,"['REST APIs', 'MVVM', 'Kotlin', 'Room', 'Jetpack', 'CI', 'Clean Architecture', 'Unit Testing', 'Java', 'CD', 'Firebase', 'Android Studio']","['REST APIs', 'Java', 'MVVM', 'Kotlin', 'Room', 'Jetpack']","['CI', 'Clean Architecture', 'Unit Testing', 'CD', 'Firebase', 'Android Studio']"
AND-E-05,Principal Android Developer,Experienced,"['Kotlin', 'Java', 'Android Studio', 'MVVM', 'Clean Architecture', 'Jetpack', 'Dagger', 'Firebase', 'Room', 'CI/CD', 'Unit Testing']","['Define technical direction for Android apps across teams.', 'Implement advanced MVVM architecture with modularization.', 'Optimize performance and reduce crash rates.', 'Mentor senior and junior engineers.', 'Oversee Play Store releases and CI/CD processes.']","['Kotlin', 'Jetpack', 'MVVM', 'Room', 'Material Design', 'Dependency Injection', 'Performance Optimization', 'CI/CD', 'Firebase', 'REST API', 'Play Store', 'Debugging', 'Agile', 'Unit Testing', 'Android NDK']",5,5,"['MVVM', 'Kotlin', 'Room', 'Jetpack', 'CI', 'Clean Architecture', 'Unit Testing', 'Java', 'CD', 'Dagger', 'Firebase', 'Android Studio']","['Java', 'MVVM', 'Kotlin', 'Room', 'Jetpack', 'CI']","['Clean Architecture', 'Unit Testing', 'CD', 'Dagger', 'Firebase', 'Android Studio']"
AND-E-06,Android Tech Lead,Experienced,"['Kotlin', 'Java', 'Android Studio', 'MVVM', 'Clean Architecture', 'Jetpack', 'Dagger', 'Firebase', 'Room', 'CI/CD', 'Unit Testing']","['Lead Android development teams for enterprise apps.', 'Oversee architecture, modularization, and app performance.', 'Integrate Firebase services for analytics and messaging.', 'Ensure CI/CD pipelines and automated tests run smoothly.', 'Guide and mentor engineers on best coding practices.']","['Kotlin', 'Jetpack', 'MVVM', 'Room', 'Material Design', 'Dependency Injection', 'Performance Optimization', 'CI/CD', 'Firebase', 'REST API', 'Play Store', 'Debugging', 'Agile', 'Unit Testing', 'Android NDK']",5,5,"['MVVM', 'Kotlin', 'Room', 'Jetpack', 'CI', 'Clean Architecture', 'Unit Testing', 'Java', 'CD', 'Dagger', 'Firebase', 'Android Studio']","['Java', 'MVVM', 'Kotlin', 'Room', 'Jetpack', 'CI']","['Clean Architecture', 'Unit Testing', 'CD', 'Dagger', 'Firebase', 'Android Studio']"
AND-E-07,Senior Android Engineer,Experienced,"['Java', 'Kotlin', 'Android Studio', 'MVVM', 'Jetpack', 'Clean Architecture', 'Firebase', 'Dagger', 'Room', 'CI/CD', 'Unit Testing']","['Develop and maintain large-scale Android apps.', 'Implement modular MVVM architecture with Jetpack libraries.', 'Optimize app performance and reduce crash rates.', 'Integrate REST APIs and cloud services.', 'Mentor team members and review code quality.']","['Kotlin', 'Jetpack', 'MVVM', 'Room', 'Material Design', 'Dependency Injection', 'Performance Optimization', 'CI/CD', 'Firebase', 'REST API', 'Play Store', 'Debugging', 'Agile', 'Unit Testing', 'Android NDK']",4,6,"['MVVM', 'Kotlin', 'Room', 'Jetpack', 'CI', 'Clean Architecture', 'Unit Testing', 'Java', 'CD', 'Dagger', 'Firebase', 'Android Studio']","['Java', 'MVVM', 'Kotlin', 'Room', 'Jetpack', 'CI']","['Clean Architecture', 'Unit Testing', 'CD', 'Dagger', 'Firebase', 'Android Studio']"
AND-E-08,Android Architect,Experienced,"['Kotlin', 'Java', 'Android Studio', 'MVVM', 'Clean Architecture', 'Jetpack', 'Dagger', 'Firebase', 'Room', 'CI/CD', 'Unit Testing', 'Performance Optimization']","['Design Android app architecture for scalability and performance.', 'Guide development teams on MVVM, modularization, and clean architecture.', 'Monitor performance metrics and optimize memory usage.', 'Oversee Play Store releases and continuous integration pipelines.', 'Mentor senior engineers and ensure best practices are followed.']","['Kotlin', 'Jetpack', 'MVVM', 'Room', 'Material Design', 'Dependency Injection', 'Performance Optimization', 'CI/CD', 'Firebase', 'REST API', 'Play Store', 'Debugging', 'Agile', 'Unit Testing', 'Android NDK']",5,5,"['MVVM', 'Kotlin', 'Room', 'Jetpack', 'CI', 'Clean Architecture', 'Unit Testing', 'Java', 'CD', 'Dagger', 'Firebase', 'Android Studio', 'Performance Optimization']","['Java', 'MVVM', 'Kotlin', 'Room', 'Jetpack', 'CI']","['Clean Architecture', 'Unit Testing', 'CD', 'Dagger', 'Firebase', 'Android Studio', 'Performance Optimization']"
AND-E-09,Android Solutions Architect,Experienced,"['Kotlin', 'Java', 'Android Studio', 'MVVM', 'Clean Architecture', 'Jetpack', 'Dagger', 'Firebase', 'Room', 'CI/CD', 'Unit Testing', 'Performance Optimization']","['Define architecture strategies for multiple Android projects.', 'Lead app performance optimization, debugging, and CI/CD integration.', 'Mentor teams on advanced Android development patterns.', 'Ensure Play Store compliance and smooth deployment.', 'Collaborate with stakeholders for technical solutions and metrics.']","['Kotlin', 'Jetpack', 'MVVM', 'Room', 'Material Design', 'Dependency Injection', 'Performance Optimization', 'CI/CD', 'Firebase', 'REST API', 'Play Store', 'Debugging', 'Agile', 'Unit Testing', 'Android NDK']",5,5,"['MVVM', 'Kotlin', 'Room', 'Jetpack', 'CI', 'Clean Architecture', 'Unit Testing', 'Java', 'CD', 'Dagger', 'Firebase', 'Android Studio', 'Performance Optimization']","['Java', 'MVVM', 'Kotlin', 'Room', 'Jetpack', 'CI']","['Clean Architecture', 'Unit Testing', 'CD', 'Dagger', 'Firebase', 'Android Studio', 'Performance Optimization']"
AND-E-10,Principal Android Engineer,Experienced,"['Kotlin', 'Java', 'Android Studio', 'MVVM', 'Clean Architecture', 'Jetpack', 'Dagger', 'Firebase', 'Room', 'CI/CD', 'Unit Testing', 'Performance Optimization']","['Set technical standards for Android apps across teams.', 'Oversee advanced app development, CI/CD, and testing processes.', 'Optimize app performance and maintain crash-free releases.', 'Mentor senior and junior engineers on architecture and coding standards.', 'Drive Android project delivery with measurable KPIs.']","['Kotlin', 'Jetpack', 'MVVM', 'Room', 'Material Design', 'Dependency Injection', 'Performance Optimization', 'CI/CD', 'Firebase', 'REST API', 'Play Store', 'Debugging', 'Agile', 'Unit Testing', 'Android NDK']",5,5,"['MVVM', 'Kotlin', 'Room', 'Jetpack', 'CI', 'Clean Architecture', 'Unit Testing', 'Java', 'CD', 'Dagger', 'Firebase', 'Android Studio', 'Performance Optimization']","['Java', 'MVVM', 'Kotlin', 'Room', 'Jetpack', 'CI']","['Clean Architecture', 'Unit Testing', 'CD', 'Dagger', 'Firebase', 'Android Studio', 'Performance Optimization']"
AR-F-001,AR/VR Developer,Fresher,"['C++ basics', 'C# basics', 'JavaScript basics', 'Unity basics', 'Unreal Engine basics', 'ARKit basics', 'ARCore basics', 'Blender basics', 'Maya basics', '3D modeling basics', 'UI/UX fundamentals', 'Spatial computing basics', 'Communication', 'Teamwork', 'Problem-solving']","['Assist in developing AR/VR applications', 'Create basic 3D models and animations', 'Support Unity and Unreal Engine projects', 'Collaborate with design teams on UI/UX', 'Test and debug AR/VR interactions', 'Document development processes']","['Unity', 'Unreal Engine', 'C#', 'ARKit', 'ARCore', '3D Modeling', 'Spatial Computing', 'Motion Tracking', 'JavaScript']",0,1,"['3D modeling', 'Spatial computing', 'UX', 'Blender', 'C++', 'Communication', 'ARCore', 'Problem-solving', 'Unreal Engine', 'Unity', 'Maya', 'Teamwork', 'JavaScript', 'ARKit', 'C#', 'UI']","['C++', 'JavaScript', '3D modeling', 'Spatial computing', 'UX', 'Blender', 'Communication', 'ARCore']","['Problem-solving', 'Unreal Engine', 'Unity', 'Maya', 'Teamwork', 'ARKit', 'C#', 'UI']"
1,Backend Developer - Entry Level,Fresher,"['Node.js', 'Python', 'Java', 'Express.js', 'Flask', 'Django', 'MySQL', 'PostgreSQL', 'MongoDB', 'Redis', 'RESTful API', 'GraphQL basics', 'Git']","['Assist in building server-side applications', 'Develop RESTful APIs', 'Work with SQL/NoSQL databases', 'Participate in testing and debugging', 'Learn cloud deployment and security fundamentals']","['Backend Developer', 'Fresher', 'Server-Side Development', 'API Development', 'Cloud Awareness']",0,1,"['Redis', 'MySQL', 'MongoDB', 'Express.js', 'RESTful API', 'PostgreSQL', 'GraphQL', 'Django', 'Java', 'Python', 'Flask', 'Git', 'Node.js']","['MySQL', 'MongoDB', 'Express.js', 'RESTful API', 'PostgreSQL', 'Django', 'Java', 'Python', 'Flask', 'Node.js']","['Redis', 'GraphQL', 'Git']"
11,Backend Developer - Experienced,Experienced,"['Node.js', 'Python', 'Java', 'Go', 'Express.js', 'Django', 'Flask', 'Spring Boot', 'MySQL', 'PostgreSQL', 'MongoDB', 'Redis', 'RESTful API', 'GraphQL', 'gRPC', 'Git', 'Docker', 'Kubernetes', 'CI/CD', 'Cloud Platforms', 'Agile']","['Design, develop, and maintain backend services', 'Implement RESTful APIs', 'Manage SQL/NoSQL databases', 'Optimize queries', 'Ensure security and authentication', 'Deploy applications on cloud platforms']","['Backend Developer', 'Experienced', 'API Development', 'Server-Side Development', 'Cloud', 'Microservices']",3,5,"['MongoDB', 'Spring Boot', 'PostgreSQL', 'gRPC', 'Flask', 'Git', 'Node.js', 'Redis', 'MySQL', 'Express.js', 'RESTful API', 'Agile', 'Docker', 'CI', 'CD', 'Kubernetes', 'Go', 'GraphQL', 'Django', 'Java', 'Python', 'Cloud Platforms']","['MongoDB', 'Spring Boot', 'PostgreSQL', 'Flask', 'Node.js', 'MySQL', 'Express.js', 'RESTful API', 'Docker', 'Kubernetes', 'Django', 'Java', 'Python', 'Cloud Platforms']","['gRPC', 'Git', 'Redis', 'Agile', 'CI', 'CD', 'Go', 'GraphQL']"
BDS-F-001,Big Data Specialist,Fresher,"['Hadoop (HDFS, MapReduce, Hive, Pig)', 'Apache Spark basics', 'Java basics', 'Python basics', 'Scala basics', 'SQL basics', 'NoSQL basics (MongoDB, HBase)', 'ETL concepts', 'Talend basics', 'Apache NiFi basics', 'Linux/Unix basics', 'Analytical thinking', 'Problem-solving', 'Teamwork']","['Assist in processing and analyzing big data', 'Support ETL pipeline development', 'Learn and implement Hadoop and Spark tasks', 'Collaborate with team members on data projects', 'Document data processing workflows', 'Apply basic statistical and data mining techniques']","['Apache Spark', 'Hadoop', 'Java', 'Python', 'SQL', 'NoSQL', 'ETL', 'Big Data Analytics', 'Data Mining', 'Linux']",0,1,"['Linux', 'NoSQL  (MongoDB, HBase)', 'Hadoop (HDFS, MapReduce, Hive, Pig)', 'Problem-solving', 'SQL', 'Unix', 'Java', 'Apache Spark', 'Python', 'ETL concepts', 'Talend', 'Apache NiFi', 'Analytical thinking', 'Teamwork', 'Scala']","['NoSQL  (MongoDB, HBase)', 'Hadoop (HDFS, MapReduce, Hive, Pig)', 'SQL', 'Java', 'Python', 'Linux', 'Problem-solving']","['Unix', 'Apache Spark', 'ETL concepts', 'Talend', 'Apache NiFi', 'Analytical thinking', 'Teamwork', 'Scala']"
BD-F-001,Blockchain Developer,Fresher,"['Java basics', 'Python basics', 'C++ basics', 'Solidity basics', 'Ethereum fundamentals', 'Hyperledger basics', 'Corda basics', 'Smart contract development and testing', 'Cryptography basics', 'DApps basics', 'Git basics', 'Truffle basics', 'Remix IDE basics', 'Problem-solving', 'Communication', 'Teamwork']","['Assist in blockchain application development', 'Support smart contract implementation and testing', 'Collaborate on DApp projects', 'Follow cryptography and blockchain security guidelines', 'Document development tasks and processes', 'Learn blockchain platforms and tools']","['Blockchain', 'Ethereum', 'Solidity', 'Smart Contracts', 'Cryptography', 'DApps', 'Hyperledger', 'Corda']",0,1,"['Ethereum', 'Communication', 'C++', 'Cryptography', 'Smart contract development and testing', 'DApps', 'Git', 'Problem-solving', 'Solidity', 'Java', 'Teamwork', 'Python', 'Remix IDE', 'Truffle', 'Hyperledger', 'Corda']","['C++', 'Java', 'Python', 'Ethereum', 'Communication', 'Cryptography', 'Smart contract development and testing', 'DApps']","['Git', 'Problem-solving', 'Solidity', 'Teamwork', 'Remix IDE', 'Truffle', 'Hyperledger', 'Corda']"
BA-101,Business Analyst,Fresher,"['Data analysis', 'Excel', 'SQL basics', 'Tableau basics', 'Power BI basics', 'Requirement gathering', 'Documentation', 'Agile methodology awareness', 'Communication', 'Problem-solving']","['Assist in data collection and analysis', 'Support creation of reports and dashboards', 'Help gather and document requirements', 'Participate in Agile ceremonies', 'Collaborate with team members on analysis tasks', 'Conduct basic research and scenario modeling', 'Support presentations to stakeholders', 'Contribute to process improvement initiatives', 'Learn BI tools and automation workflows', 'Maintain clear documentation and reporting']","['Business Analysis', 'Data Analysis', 'Excel', 'SQL', 'Tableau', 'Power BI', 'Requirement Gathering', 'Agile', 'Problem Solving', 'Documentation']",0,1,"['Tableau', 'Excel', 'Communication', 'Data analysis', 'Requirement gathering', 'Problem-solving', 'SQL', 'Power BI', 'Agile methodology awareness', 'Documentation']","['SQL', 'Tableau', 'Excel', 'Communication', 'Data analysis']","['Requirement gathering', 'Problem-solving', 'Power BI', 'Agile methodology awareness', 'Documentation']"
